full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
alejandrobalderas/claude-code-from-source,2698,2698,740,887,887,181,https://github.com/alejandrobalderas/claude-code-from-source
Windy3f3f3f3f/how-claude-code-works,3134,3134,665,1107,1107,139,https://github.com/Windy3f3f3f3f/how-claude-code-works
disler/claude-code-hooks-mastery,3824,3824,628,242,242,26,https://github.com/disler/claude-code-hooks-mastery
777genius/claude-code-source-code,920,920,1097,19,19,-18,https://github.com/777genius/claude-code-source-code
fuergaosi233/claude-code-proxy,2722,2722,404,213,213,47,https://github.com/fuergaosi233/claude-code-proxy
ding113/claude-code-hub,3237,3237,374,571,571,75,https://github.com/ding113/claude-code-hub
RichardAtCT/claude-code-telegram,2730,2730,403,230,230,50,https://github.com/RichardAtCT/claude-code-telegram
kodu-ai/claude-coder,5256,5256,198,-22,-22,-1,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2398,2398,406,41,41,3,https://github.com/Yuyz0112/claude-code-reverse
fazxes/Claude-code,225,225,216,14,14,7,https://github.com/fazxes/Claude-code
SeemSeam/claude_codex_bridge,3243,3243,315,3243,3243,315,https://github.com/SeemSeam/claude_codex_bridge
Cranot/claude-code-guide,2843,2843,320,212,212,31,https://github.com/Cranot/claude-code-guide
Windy3f3f3f3f/claude-code-from-scratch,2249,2249,482,1228,1228,141,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
multica-ai/andrej-karpathy-skills,190978,190978,19600,190978,190978,19600,https://github.com/multica-ai/andrej-karpathy-skills
luyao618/Claude-Code-Source-Study,1601,1601,553,353,353,68,https://github.com/luyao618/Claude-Code-Source-Study
Chachamaru127/claude-code-harness,2964,2964,286,2964,2964,286,https://github.com/Chachamaru127/claude-code-harness
https-deeplearning-ai/sc-claude-code-files,533,533,804,36,36,113,https://github.com/https-deeplearning-ai/sc-claude-code-files
AprilNEA/claude-code-source,390,390,611,17,17,0,https://github.com/AprilNEA/claude-code-source
repowise-dev/claude-code-prompts,1154,1154,386,182,182,25,https://github.com/repowise-dev/claude-code-prompts
anthropics/claude-code-base-action,901,901,610,99,99,9,https://github.com/anthropics/claude-code-base-action
anthropics/skills,160400,160400,18930,35738,35738,4335,https://github.com/anthropics/skills
guanshan/ClaudeCode,61,61,213,4,4,-2,https://github.com/guanshan/ClaudeCode
JrCx7scC/claude-code-source,371,371,547,10,10,11,https://github.com/JrCx7scC/claude-code-source
edmund-io/edmunds-claude-code,1481,1481,286,73,73,3,https://github.com/edmund-io/edmunds-claude-code
huangjia2019/claude-code-engineering,967,967,345,967,967,345,https://github.com/huangjia2019/claude-code-engineering
carlvellotti/claude-code-pm-course,2130,2130,349,206,206,50,https://github.com/carlvellotti/claude-code-pm-course
Pimzino/claude-code-spec-workflow,3791,3791,265,95,95,6,https://github.com/Pimzino/claude-code-spec-workflow
jqueryscript/awesome-claude-code,463,463,448,463,463,448,https://github.com/jqueryscript/awesome-claude-code
Yeachan-Heo/oh-my-claudecode,37681,37681,3405,6136,6136,484,https://github.com/Yeachan-Heo/oh-my-claudecode
router-for-me/CLIProxyAPI,40083,40083,6583,10946,10946,1737,https://github.com/router-for-me/CLIProxyAPI
andrew-kramer-inno/claude-code-source-build,594,594,524,13,13,7,https://github.com/andrew-kramer-inno/claude-code-source-build
AICoderTudou/claude-code-tudou,498,498,396,2,2,0,https://github.com/AICoderTudou/claude-code-tudou
disler/pi-vs-claude-code,1477,1477,353,1477,1477,353,https://github.com/disler/pi-vs-claude-code
feiskyer/claude-code-settings,1586,1586,237,114,114,19,https://github.com/feiskyer/claude-code-settings
krusemediallc/arcads-claude-code,999,999,267,999,999,267,https://github.com/krusemediallc/arcads-claude-code
VILA-Lab/Dive-into-Claude-Code,1874,1874,286,1874,1874,286,https://github.com/VILA-Lab/Dive-into-Claude-Code
darcyegb/ClaudeCodeAgents,746,746,68,746,746,68,https://github.com/darcyegb/ClaudeCodeAgents
jeremylongshore/claude-code-plugins-plus-skills,2504,2504,358,2504,2504,358,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
digitalsamba/claude-code-video-toolkit,1729,1729,294,1729,1729,294,https://github.com/digitalsamba/claude-code-video-toolkit
ghuntley/claude-code-source-code-deobfuscation,987,987,549,14,14,-5,https://github.com/ghuntley/claude-code-source-code-deobfuscation
KPR111/Claude-Code,18,18,325,18,18,325,https://github.com/KPR111/Claude-Code
sugyan/claude-code-webui,1142,1142,248,87,87,5,https://github.com/sugyan/claude-code-webui
alirezarezvani/claude-skills,22242,22242,3106,9349,9349,1403,https://github.com/alirezarezvani/claude-skills
centminmod/my-claude-code-setup,2502,2502,238,2502,2502,238,https://github.com/centminmod/my-claude-code-setup
luongnv89/claude-howto,39666,39666,4791,10301,10301,1181,https://github.com/luongnv89/claude-howto
OrcaWhisper/Claude-Code,83,83,163,83,83,163,https://github.com/OrcaWhisper/Claude-Code
